car,posx,posy,vitesse,distance,BS,start,end,lifetime,lineid,roadid,Theta,Cdistance,NewLoad
2,5626.375186,3786.230587,1.904111,105.604458,1,7,17,10,3240630,324063,-0.390501109,150.9947519,1
15,5524.102266,4605.595321,9.40829,723.511805,1,167,287,120,1451280,145128,1.353802614,1007.761967,1
10,6044.558846,4117.56932,13.149624,2436.23522,1,389,441,52,3025610,302561,0.320044545,317.588978,1
31,5526.953921,4599.964361,11.731477,717.651555,1,415,427,12,3199251,319925,1.348288083,999.7985874,2
21,5917.251415,4264.192047,10.946481,501.533249,1,506,556,50,3184400,318440,0.59346538,524.9448271,6
38,5528.485408,3995.267873,11.6362,125.781634,1,518,658,140,3194030,319403,0.564541908,144.628613,6
46,5526.688095,4303.670306,14.568378,423.281938,1,577,647,70,3184410,318441,1.199941047,580.7755164,6
47,5724.020961,4539.644614,12.959584,668.423691,1,600,648,48,3161050,316105,1.066332224,914.4935832,6
55,5538.455225,4302.557562,15.663991,420.605625,1,720,888,168,3184410,318441,1.174329023,579.2018588,4
33,5688.971908,4539.835182,15.463081,662.422447,1,787,799,12,3161050,316105,1.108938324,914.763087,4
18,6207.35898,3831.655034,13.802857,620.655713,1,797,851,54,31952170,3195217,-0.072869274,86.7548829,4
63,5528.113784,4599.274195,12.542152,716.864532,1,866,886,20,3199251,319925,1.346516214,998.8225453,6
44,6030.286831,4114.169018,13.609209,497.244916,1,943,1053,110,3025610,302561,0.321850156,312.7802248,4
49,5561.6346,4654.399554,12.08996,769.886056,1,973,979,6,3087201,308720,1.320528326,1076.781576,4
82,5930.377313,4316.55707,9.11463,550.254463,1,1003,1163,160,3115200,311520,0.644663461,599.0001528,5
83,5598.573177,4964.502118,15.406981,1079.544565,1,1029,1033,4,3275001,327500,1.357949774,1515.332827,5
88,5532.224867,3809.242026,10.274526,94.671465,1,1067,1217,150,3240620,324062,-0.46917879,118.4516628,5
59,5995.403482,4104.475466,6.395365,461.880147,1,1201,1233,32,1082000,108200,0.324623135,299.0714721,6
103,5572.092489,3504.928387,1.36515,380.447493,1,1220,1274,54,31952150,3195215,-1.08461629,548.8161383,6
76,5636.341523,4738.977068,11.804479,855.288286,1,1234,1346,112,2857040,285704,1.262564298,1196.392243,6
107,5527.37565,4303.605288,11.93137,423.116943,1,1245,1325,80,3184410,318441,1.198433888,580.6835671,6
81,5596.697877,4780.232665,13.148507,895.26576,1,1296,1308,12,3084621,308462,1.317465927,1254.736468,6
112,5526.645766,3994.784755,12.636319,126.256655,1,1314,1448,134,3194030,319403,0.567584741,143.945381,6
107,5913.316525,4320.273899,12.287381,542.811731,1,1329,1333,4,3115200,311520,0.66373032,604.2565428,6
121,5525.301738,3808.944059,11.547114,99.206727,1,1402,1524,122,3240620,324062,-0.488127713,118.8730518,7
81,5516.101342,4980.489418,5.300302,1097.912236,1,1408,1410,2,5428420,542842,1.434539858,1537.942284,7
106,6129.344071,3744.626484,12.109408,2460.407155,1,1468,1528,60,3147020,314702,-0.192224897,209.8318386,7
78,6000.828364,4106.005425,14.898697,467.38207,1,1469,1533,64,3025610,302561,0.324204054,301.2351609,7
128,5530.405093,3995.772011,12.654037,125.31481,1,1475,1611,136,3194030,319403,0.56142761,145.3415718,7
121,6043.899335,4134.369439,11.05733,518.766346,1,1528,1532,4,3025610,302561,0.342525549,341.3479342,8
102,5828.214332,4325.271007,14.497018,501.060931,1,1543,1643,100,3115200,311520,0.753015755,611.3235207,8
85,6016.919874,4117.4403,14.469916,486.974242,1,1557,1629,72,3025612,302561,0.33251319,317.4065162,8
97,6009.759969,4108.546427,10.314492,476.457717,1,1667,1717,50,3025610,302561,0.32356008,304.8286804,4
111,5615.730252,4856.507782,12.699003,971.875443,1,1712,1728,16,3174430,317443,1.318161208,1362.605773,2
173,5527.981871,4603.208733,12.183624,720.796085,1,1961,2071,110,1451280,145128,1.347894454,1004.386822,3
174,5527.277933,4599.77156,11.460595,717.431528,1,1971,1985,14,3199251,319925,1.34779331,999.5259257,3
170,5997.861746,4105.164625,14.180877,464.370961,1,2010,2092,82,1082000,108200,0.324426462,300.0460901,3
130,5947.442406,4262.158572,13.771478,520.316776,1,2057,2179,122,3184400,318440,0.566466919,522.0690592,3
199,6117.9031,3744.352917,2.30594,547.284287,1,2251,2345,94,3147020,314702,-0.195431082,210.2187208,4
175,5557.777727,4973.626138,12.843528,1089.07378,1,2269,2271,2,3275002,327500,1.396053234,1528.23614,4
208,5520.045403,4608.342546,9.69839,726.621756,1,2372,2384,12,14512120,1451212,1.360026845,1011.64713,3
181,6153.108095,3745.190125,11.883118,581.175313,1,2436,2478,42,3147020,314702,-0.185857407,209.0347299,5
172,6015.546467,4110.19266,13.086954,482.341811,1,2458,2588,130,3025610,302561,0.323152194,307.1568054,5
186,6007.270521,4111.26527,10.372385,475.548317,1,2460,2572,112,3025611,302561,0.328540898,308.673705,5
187,6007.157222,4111.233025,0.751944,475.433322,1,2464,2574,110,3025611,302561,0.328549824,308.6281037,5
227,5525.490408,4604.741388,12.973867,2902.560902,1,2554,2574,20,1451280,145128,1.351691408,1006.554324,7
197,5999.607275,4105.65803,0.378294,466.141931,1,2556,2654,98,3025610,302561,0.324293485,300.7438702,7
228,5808.623366,4481.711933,10.984997,2623.130705,1,2569,2629,60,3070020,307002,0.927198019,832.5644,7
242,5536.955351,4302.699396,12.951102,420.929247,1,2723,2827,104,3184410,318441,1.177571717,579.4024423,2
235,5937.393618,4262.835395,12.744099,513.943284,1,2741,2805,64,3184400,318440,0.575239957,523.0262315,2
207,6013.11937,4109.502161,13.593147,479.87338,1,2820,2894,74,3025610,302561,0.323322401,306.1802924,9
205,5624.455977,4754.659972,10.690942,870.38244,1,2823,2825,2,3084621,308462,1.280449361,1218.571219,9
263,5522.07812,4610.74501,10.511186,728.823955,1,2864,2868,4,14512120,1451212,1.358004382,1015.044727,9
263,5582.051324,4685.206966,11.863219,800.237135,1,2872,2876,4,3087211,308721,1.305725581,1120.349836,9
209,5595.246599,4823.815068,13.995662,938.835849,1,2899,2911,12,3174430,317443,1.3303295,1316.371293,9
259,5550.445888,4758.054342,13.983703,873.905203,1,3112,3116,4,3174410,317441,1.361829235,1223.371583,2
289,5530.310142,3995.747076,12.041171,125.337202,1,3335,3455,120,3194030,319403,0.561580215,145.3063084,2
296,5535.013931,3996.982362,14.49581,124.31631,1,3390,3530,140,3194030,319403,0.554194485,147.0532666,2
267,5910.523087,4317.03664,14.524025,538.546891,1,3428,3530,102,3115200,311520,0.662527672,599.6783672,4
306,5534.192838,3996.76673,13.70482,124.481433,1,3495,3603,108,3194030,319403,0.55545861,146.7483169,4
307,5561.180551,3489.700929,11.162327,396.276769,1,3503,3569,66,31952150,3195215,-1.122073955,570.3510159,5
304,5704.903378,4542.889932,12.46544,668.021523,1,3572,3598,26,3161051,316105,1.091324742,919.0831559,5
335,5524.379421,4605.424825,13.393564,723.317184,1,3756,3860,104,1451280,145128,1.35338134,1007.52085,2
308,6030.187139,4114.145267,13.796912,497.145497,1,3805,3877,72,3025610,302561,0.321863035,312.7466358,10
341,5530.529958,4601.681738,14.198429,719.062903,1,3808,3824,16,3199250,319925,1.344013531,1002.227325,10
343,5548.56383,3975.128791,1.695494,98.784021,1,3824,3944,120,312560,31256,0.424799119,116.1476501,10
345,5631.438586,4476.027873,1.4788,592.549559,1,3836,3860,24,3216020,321602,1.144985189,824.5259252,10
353,5531.599477,3996.085674,13.575204,125.039382,1,3873,4013,140,3194030,319403,0.559520604,145.7851583,10
354,5525.940525,3994.599548,12.027617,126.445871,1,3874,4012,138,3194030,319403,0.568766729,143.6834587,10
355,5520.600243,4608.99831,8.629043,2907.428828,1,3874,3892,18,14512120,1451212,1.359473282,1012.574521,10
